Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw
0.228,-4.451526695353292e-06,0.0,0.0,0.0
0.262,-4.921034748665691e-06,1.041724290703171e-06,-5.24611609063628e-08,-4.695080533123991e-07
0.296,-5.955979818472159e-06,-3.6049513822862533e-07,-7.943166275327456e-08,-1.0349450698064678e-06
0.33,-6.232258596008913e-06,-5.818129796423058e-07,-2.8183720646262448e-08,-2.762787775367544e-07
0.364,-6.193189658049116e-06,-8.517977981509581e-07,-7.265929110211997e-09,3.9068937959797226e-08
0.398,-1.9753875825214445e-05,4.035576289878988e-06,1.085156090482306e-05,-1.3560686167165332e-05
0.432,-2.778255968556656e-05,7.567102876795631e-07,-5.134112352345267e-07,-8.028683860352113e-06
0.466,-2.039513201027269e-05,-7.556990784616217e-08,4.7568285170299605e-07,7.387427675293866e-06
0.5,-1.0286510002054268e-05,-1.0345859361230063e-07,6.565565545841185e-07,1.0108622008218424e-05
0.534,5.126981736776483e-07,-1.1035210106466298e-07,7.025698618741224e-07,1.0799208175731917e-05
0.5680000000000001,1.1492807193372718e-05,-1.1216585789862454e-07,7.146244786035499e-07,1.098010901969507e-05
0.6020000000000001,2.252116832819817e-05,-1.12656522694746e-07,7.178358830319653e-07,1.1028361134825454e-05
0.636,3.356265927426878e-05,-1.1279687110385407e-07,7.187057971332325e-07,1.1041490946070608e-05
0.67,4.460798192250591e-05,-1.1284447264375137e-07,7.189558213215684e-07,1.1045322648237133e-05
0.7040000000000001,5.5654674493319845e-05,-1.1286751770700489e-07,7.190417082636681e-07,1.1046692570813931e-05
0.7380000000000001,6.670208499148412e-05,-1.1288405963889166e-07,7.190841106750893e-07,1.1047410498164272e-05
0.772,7.775004054332912e-05,-1.1289887822014785e-07,7.191149712474046e-07,1.1047955551845e-05
0.806,8.879849513490782e-05,-1.129132390928853e-07,7.191427486978697e-07,1.1048454591578702e-05
0.8400000000000001,9.98474363601016e-05,-1.129274775696007e-07,7.191696848984203e-07,1.1048941225193793e-05
0.874,0.000110896860732,-1.1294168265202185e-07,7.191963757140885e-07,1.104942437193402e-05
0.908,0.0001219467671454,-1.129558780971918e-07,7.192229810610796e-07,1.1049906413455898e-05
0.942,0.0001329971551444,-1.1297007037128047e-07,7.192495452574924e-07,1.1050387998989816e-05
0.976,0.0001440480244619,-1.1298426134259856e-07,7.19276081837863e-07,1.1050869317452332e-05
1.01,0.0001550993748961,-1.1299845167813545e-07,7.19302596013155e-07,1.1051350434203048e-05
1.044,0.0001661512062773,-1.1301264167106613e-07,7.193290906891794e-07,1.1051831381219007e-05
1.078,0.0001772035184558,-1.1302683152868837e-07,7.19355567904785e-07,1.1052312178536983e-05
1.112,0.0001882563113001,-1.1304102142447622e-07,7.193820295047522e-07,1.1052792844273878e-05
1.146,0.000199309584693,-1.1305521148765983e-07,7.194084770317074e-07,1.1053273392887772e-05
1.18,0.0002103633385304,-1.1306940184835357e-07,7.194349118869345e-07,1.1053753837388365e-05
1.214,0.0002214175727212,-1.1308359264012441e-07,7.194613353823859e-07,1.1054234190800736e-05
1.248,0.000232472287185,-1.1309778394971021e-07,7.194877487127914e-07,1.1054714463823966e-05
1.282,0.0002479264877284,0.0002734719816035,1.0082185992739713e-06,1.545420054337103e-05
1.316,0.0002627485302412,0.001158279325177,9.656864531138326e-07,1.482204251276214e-05
1.35,0.0002808902666435,0.0020671441770129,1.1847225700749349e-06,1.814173640230605e-05
1.384,0.0003018928890906,0.0029711512070666,1.373478476269292e-06,2.1002622447150463e-05
1.418,0.00032515208811,0.0038537730168362,1.5223268731624958e-06,2.325919901937924e-05
1.452,0.0003487242321432,0.0046842426722095,1.5428595610729467e-06,2.3572144033183466e-05
1.486,0.0003720925274721,0.0054171472584504,1.5292281598963564e-06,2.3368295328883324e-05
1.52,0.0003979601961997,0.0059988110956186,1.6939674912612511e-06,2.586766872762037e-05
1.554,0.0003924918183054,0.0063825724562613,-3.7300093285680354e-07,-5.468377894253931e-06
1.588,0.0002463637464682,0.0065354040039215,-9.648437207297336e-06,-0.0001461280718372
1.622,0.0002789178077948,0.0065420316422017,2.815742769614352e-06,3.255406132658662e-05
1.656,0.0003951424050054,0.0067051800875402,7.656475400617208e-06,0.0001162245972106
1.69,0.0004509312259734,0.0070622884348141,3.670559862865883e-06,5.578882096802807e-05
1.7240000000000002,-0.0011465878745866,0.0074283476413032,2.1178723605604915e-07,-0.00159751910056
1.758,-0.0033435281587197,0.0074836464065379,-1.5636685418535125e-05,-0.0021969402841331
1.792,-0.0041967733283577,0.0071473171170483,-2.547115209748935e-05,-0.0008532451696379
1.826,-0.0066930731904155,0.0071075391836278,-3.85950140625952e-05,-0.0024962998620577
1.86,-0.0092265749199016,0.0071228368318227,-5.573615914055498e-05,-0.0025335017294861
1.894,-0.0135438157677824,0.0074655136536563,-8.071585612952701e-05,-0.0043172408478807
1.928,-0.0186304603458406,0.007542561857455,-0.0001198565289503,-0.0050866445780582
1.962,-0.0236107300976411,0.0075459527466864,-0.000158700240973,-0.0049802697518004
1.996,-0.0278443176156853,0.0075363386510797,-0.0001941050235374,-0.0042335875180441
2.03,-0.0320195021088442,0.0075272813717989,-0.0002275637298846,-0.0041751844931588
2.064,-0.0359454692039146,0.007492204685939,-0.0002540971086227,-0.0039259670950704
2.098,-0.0401867479062272,0.0074379948000132,-0.0002811832252894,-0.0042412787023126
2.132,-0.0446087527462892,0.0074507487639619,-0.0003117143727403,-0.004422004840062
2.166,-0.0490909543648799,0.0074864011488141,-0.0003494691143598,-0.0044822016185906
2.2,-0.0554460421052488,0.0075085250493341,-0.0003900562672506,-0.0063550877403688
2.234,-0.0618266959545827,0.0075129602658683,-0.0004368284114433,-0.0063806538493339
2.268,-0.0673009033721265,0.0075049948322873,-0.000485054282853,-0.0054742074175437
2.302,-0.0700680025368429,0.0074877791111363,-0.0005142874071226,-0.0027670991647163
