Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw
0.188,0.7849975175273284,0.0,0.0,0.0
0.222,0.7850064170949769,-9.357105552940722e-06,-9.15848946546555e-06,8.899567648490425e-06
0.256,0.7849966664960283,2.939839578147002e-07,2.880693812114775e-07,-9.750598948587985e-06
0.29000000000000004,0.7849893057986741,-3.928486783971903e-07,-5.192109530189823e-07,-7.3606973541862075e-06
0.324,0.7849818097670443,-7.186827461268079e-07,-7.071671240420005e-07,-7.4960316297500995e-06
0.35800000000000004,0.784973884567184,-9.434161228230424e-07,-9.185201274228283e-07,-7.925199860370215e-06
0.392,0.7849599894239148,-4.832993802848795e-06,9.928139639946501e-06,-1.3895143269215815e-05
0.42600000000000005,0.7849512801705006,6.84589550330357e-07,6.640497803240067e-08,-8.709253414118658e-06
0.46,0.7849574432494015,-3.257149832520956e-07,2.4621489183411505e-07,6.163078900889296e-06
0.49400000000000005,0.7849671336610007,-5.140171960749292e-07,3.87603191870714e-07,9.690411599150297e-06
0.528,0.7849776827098492,-5.599290784645723e-07,4.219838301159143e-07,1.054904884856267e-05
0.562,0.7849884448418178,-5.713229949441505e-07,4.3051544578853046e-07,1.0762131968600208e-05
0.5960000000000001,0.7849992601259252,-5.74171811917705e-07,4.326352231178933e-07,1.0815284107401624e-05
0.63,0.7850100889157204,-5.749024231337645e-07,4.3316530271833186e-07,1.0828789795191973e-05
0.664,0.7850209213792033,-5.751077051048704e-07,4.3330114346366855e-07,1.0832463482879362e-05
0.6980000000000001,0.785031755077973,-5.751826736895976e-07,4.3333920363023207e-07,1.083369876964113e-05
0.7320000000000001,0.7850425894071283,-5.752252902431129e-07,4.3335299996670115e-07,1.0834329155384737e-05
0.766,0.7850534242164628,-5.752598509389979e-07,4.333607643625982e-07,1.0834809334503426e-05
0.8,0.7850642594685425,-5.752923838962289e-07,4.3336701917914054e-07,1.0835252079677282e-05
0.8340000000000001,0.7850750951539178,-5.753243869357702e-07,4.3337288711895684e-07,1.0835685375298889e-05
0.8680000000000001,0.7850859312700951,-5.753562340518603e-07,4.3337864766594333e-07,1.0836116177248556e-05
0.902,0.7850967678163201,-5.753880204534961e-07,4.3338437119263065e-07,1.0836546225023726e-05
0.936,0.7851076047922849,-5.754197718995865e-07,4.3339007608275e-07,1.0836975964823026e-05
0.9700000000000001,0.7851184421978052,-5.754514967632115e-07,4.333957677464702e-07,1.0837405520325305e-05
1.004,0.7851292800327375,-5.754831989041171e-07,4.334014483018886e-07,1.0837834932275747e-05
1.038,0.7851401182969595,-5.755148808866822e-07,4.334071189698169e-07,1.0838264221990634e-05
1.072,0.7851509569903636,-5.7554654482464e-07,4.3341278070825606e-07,1.083869340412491e-05
1.106,0.7851617961128536,-5.755781925715665e-07,4.33418434326021e-07,1.083912249000285e-05
1.1400000000000001,0.7851726356643454,-5.756098258279141e-07,4.3342408058812637e-07,1.0839551491725887e-05
1.174,0.7851834756447635,-5.756414460486754e-07,4.334297201190659e-07,1.0839980418175799e-05
1.208,0.7851943160540418,-5.756730546571978e-07,4.334353535615648e-07,1.0840409278234375e-05
1.242,0.785205156892122,-5.757046528404725e-07,4.334409814373344e-07,1.0840838080228288e-05
