Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time
-2.3562266246781336,-2.357228991448652,0.0001840342127898,-0.0001301360214866,-0.0001301276580471,0.0004487723063044,0.0057293431838727,0.0170697324932161,4.867106575270725e-06,-9.249166421870444e-06,-1.315807388957424e-05,-4.3334410925499415e-06,-4.333339439841003e-06,1.4944117799939436e-05,0.0002241804681778,0.5930000000000001
-2.356211680560333,-2.357238972997946,3.814002813970722e-05,-2.696953613652904e-05,-2.6968608919966807e-05,-0.0004287508839829,-0.004381206746252,-0.0263520477563791,-6.658042373819412e-07,-6.856825731232918e-07,-9.981549294213464e-06,-8.980803493459424e-07,-8.980598811633373e-07,-1.4277404436631882e-05,1.0652494669248006e-06,0.627
-2.35622595796477,-2.3572332586427738,-7.678703963036062e-06,5.429834499718368e-06,5.4294927808787e-06,1.823179990326593e-05,-0.0013759379009832,0.0134229034200061,3.018034609755631e-07,-2.282665639286028e-07,5.714355172159458e-06,1.8081109562635534e-07,1.8080450307018444e-07,6.071189367787556e-07,-2.0874147990433e-06,0.661
-2.356225350845833,-2.357223665662544,-7.25603161586936e-06,5.130947497148344e-06,5.130630818135609e-06,0.0001529939398829,1.2692863278279336e-05,0.0040469111105006,5.085872830431354e-07,-3.840072097752866e-07,9.592980229733428e-06,1.708579067378164e-07,1.708526512750501e-07,5.094698198101873e-06,-2.635874644914064e-06,0.6950000000000001
-2.356220256147635,-2.357213140839707,-5.424770306900895e-06,3.835990704534176e-06,3.835793033697338e-06,0.000192905329313,5.499283210115512e-05,0.0011985402231268,5.583941910447185e-07,-4.213455346334724e-07,1.0524822837254533e-05,1.277364281721467e-07,1.277339703769901e-07,6.423747466125001e-06,-2.769455408811646e-06,0.7290000000000001
-2.3562138324001687,-2.3572023847539865,-3.942944385491001e-06,2.788136639975829e-06,2.788028784625313e-06,0.0002129829277317,4.449927691921603e-05,0.0006029308834425,5.70753917647146e-07,-4.306134563001299e-07,1.0756085720320389e-05,9.284342011330905e-08,9.284288856448938e-08,7.092331493465624e-06,-2.769455408811646e-06,0.763
-2.3562067400686755,-2.357191571007401,-2.7155858493648583e-06,1.920232691160897e-06,1.920185646511201e-06,0.0002310991567939,3.685761369748175e-05,0.000544030902771,5.73842153972666e-07,-4.329159159497178e-07,1.0813746585291996e-05,6.394267557595787e-08,6.394325507273767e-08,7.69560192123937e-06,-2.802814021954487e-06,0.797
-2.3561990444667544,-2.3571807426369804,-1.480854644500002e-06,1.0471271299492588e-06,1.0471175921841134e-06,0.0002308070306264,3.70790151611068e-05,-8.772557584605108e-06,5.74632098618388e-07,-4.334912939952737e-07,1.0828370420767897e-05,3.486874844721982e-08,3.486960079497023e-08,7.685874119859378e-06,-2.8119897440941185e-06,0.8310000000000001
-2.3561913585926346,-2.357169910315769,-4.32689268000009e-07,3.0595655741148254e-07,3.059584736844167e-07,0.000233780946295,3.147643773273252e-05,8.930677683595235e-05,5.748520455770342e-07,-4.33638356918311e-07,1.0832321211573516e-05,1.0188181931409509e-08,1.0188588600374065e-08,7.784905511624998e-06,-2.8119897440941185e-06,0.8650000000000001
-2.356183573687123,-2.357159076690802,6.197980759369472e-07,-4.382586381303363e-07,-4.38268206740216e-07,0.0002408305334552,3.160622654465333e-05,0.0002116993141215,5.749306020009885e-07,-4.336791872634922e-07,1.0833624966899436e-05,-1.4593765372030598e-08,-1.4594578552339257e-08,8.019656764061259e-06,-2.8157755575609344e-06,0.899
-2.356175554030359,-2.35714824241871,1.6646311814594398e-06,-1.1770497071475128e-06,-1.1770942855995033e-06,0.0002307386839393,3.137636953520998e-05,-0.0003030585440237,5.749740630400096e-07,-4.3369365905357806e-07,1.0834272091919672e-05,-3.9195097699229545e-08,-3.9197897221818713e-08,7.683598175178745e-06,-2.8171034775907694e-06,0.933
