Time,delta_position_x,delta_position_y,delta_yaw
0.223,0.0,0.0,0.0
0.257,-0.000455824190905,-0.0026123704316401986,0.005240434615174773
0.29100000000000004,-0.00031711460153440005,-0.0019212076390736632,0.003367809301079694
0.325,-0.0001502784978789,-0.0012427873321951832,0.0016178904539306787
0.35900000000000004,-2.8276111531000078e-05,-0.000604379432475044,0.0002905016766691004
0.393,1.2255969192000388e-06,-8.749095061277856e-05,-1.6867118441706366e-05
0.42700000000000005,-2.148379680004444e-08,1.399888918118819e-07,2.1361977153048707e-06
0.461,-2.102845499942982e-09,8.238627446921498e-09,1.423151048049465e-07
0.49500000000000005,-4.5272999975656814e-11,-5.409903414133055e-09,-6.494540395491494e-08
0.529,1.236200999421913e-10,-6.1704079623581265e-09,-7.717692216465537e-08
0.5630000000000001,2.4575399983246815e-11,-5.124356827757026e-09,-6.202787587207548e-08
0.5970000000000001,-9.745809996693222e-11,-3.962465355833444e-09,-4.506239729105965e-08
0.631,-1.9864389994017628e-10,-2.9686655356186975e-09,-3.059142499300255e-08
0.665,-3.1530090008075745e-10,-1.897892176749849e-09,-1.4908057742284156e-08
0.6990000000000001,-3.9987559997175376e-10,-1.0805600858532216e-09,-3.0040862670707713e-09
0.7330000000000001,-4.726039999885384e-10,-3.5967484546262085e-10,7.470804560053002e-09
0.767,-5.572946000075713e-10,4.116654794827923e-10,1.87599259841853e-08
0.801,-6.269656999515275e-10,1.071445376865654e-09,2.8387970671221733e-08
0.8350000000000001,-6.798414000806427e-10,1.5843789613612103e-09,3.583828252304994e-08
0.8690000000000001,-7.464731999846583e-10,2.1874312361447323e-09,4.4674122811651236e-08
0.903,-8.020624999664078e-10,2.6903349548135225e-09,5.203162564172691e-08
0.937,-8.948745999857316e-10,3.440889573269601e-09,6.315696419231105e-08
0.9710000000000001,-1.026293399981719e-09,4.440906531399946e-09,7.808291097467085e-08
1.005,-1.1476751000287846e-09,5.358785970521751e-09,9.178747828551131e-08
1.039,-1.255002000000345e-09,6.176576361482944e-09,1.0399286544393595e-07
1.073,-1.3518740999687515e-09,6.906051730481977e-09,1.1488465348832856e-07
1.107,-1.4365956000749608e-09,7.553423553297023e-09,1.2454197778535156e-07
1.141,-1.5135328999219683e-09,8.133748563565746e-09,1.332041427107994e-07
1.175,-1.5812292000934314e-09,8.647058180599743e-09,1.4086226012531566e-07
1.209,-1.641329499938761e-09,9.105599718672863e-09,1.4770025758698013e-07
1.243,-1.6956456000589981e-09,9.516194388048405e-09,1.5382510223493212e-07
1.2770000000000001,-1.7435777999348645e-09,9.880189333344447e-09,1.592525756891061e-07
1.311,-1.7834072000210907e-09,1.0185177035104687e-08,1.6379411002260397e-07
1.345,-1.8116919000155801e-09,1.0404601291646998e-08,1.6705035952007535e-07
1.379,-1.8341732000402844e-09,1.0580265552562196e-08,1.6965037512913647e-07
1.413,-1.851739899979589e-09,1.0722507437499473e-08,1.7174661885808326e-07
1.447,-1.8666308000160614e-09,1.0844177555924261e-08,1.735359257109409e-07
1.481,-1.879867799945388e-09,1.0951249351798253e-08,1.7510871344432466e-07
1.5150000000000001,-1.8910041000522876e-09,1.104433644538716e-08,1.7647109707384645e-07
1.549,-1.900282399968853e-09,1.1123924559264253e-08,1.7763139203031547e-07
1.5830000000000002,-1.9095035999443233e-09,1.1200137040034974e-08,1.787442440405115e-07
1.617,-1.9122925000230814e-09,1.1237731634139436e-08,1.7926864692100614e-07
1.651,-1.898596800067008e-09,1.1191191418014057e-08,1.7850268455368856e-07
1.685,-1.9091393999547124e-09,1.1248501130545208e-08,1.7934525494995443e-07
1.719,-1.914125999954823e-09,1.1295343327333285e-08,1.8001658400566836e-07
1.7530000000000001,-1.916924499993297e-09,1.1329814753047174e-08,1.804998227801849e-07
1.787,-1.918919000044525e-09,1.1358068929823162e-08,1.8089101650516776e-07
1.8210000000000002,-1.9199288999989864e-09,1.138095395702976e-08,1.8120131497958297e-07
1.855,-1.918976999981843e-09,1.1393898491363075e-08,1.8135974225782364e-07
